,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
274,decoded,direct_vocab,11,0.34010786,0.36292887,0.036422558,0.029654134,0.033038348,0.9849296,0.9771572,0.115673356,0.13171737,0.0152361905,4800
275,decoded,direct_vocab,1,0.37941268,0.4092908,0.023452537,0.027703064,0.0255778,0.98686147,-0.21322522,0.14395398,0.16751896,0.02411502,5000
276,decoded,direct_vocab,2,0.37186712,0.3962072,0.007625581,0.057903767,0.032764673,0.98705083,0.6707906,0.13828516,0.15698016,0.021708027,5000
277,decoded,direct_vocab,3,0.3868919,0.4172965,0.085339464,0.007541902,0.046440683,0.98396426,0.01946918,0.14968534,0.17413637,0.02606566,5000
278,decoded,direct_vocab,4,0.37538385,0.40201363,0.014810802,0.037450615,0.02613071,0.98657995,0.9013826,0.14091304,0.16161495,0.022773655,5000
279,decoded,direct_vocab,5,0.3465621,0.3776831,0.068300575,0.027288638,0.047794607,0.98240167,-0.690426,0.12010528,0.14264452,0.01713236,5000
280,decoded,direct_vocab,6,0.37169263,0.39905307,0.053468186,0.029529382,0.041498784,0.98423415,0.9495033,0.13815542,0.15924335,0.022000331,5000
281,decoded,direct_vocab,7,0.38055143,0.4080387,0.008016406,0.012852551,0.0104344785,0.98894805,-0.52333117,0.1448194,0.16649559,0.02411179,5000
282,decoded,direct_vocab,8,0.36861566,0.41041613,0.1255099,0.05354542,0.08952766,0.9782568,0.8757172,0.1358775,0.1684414,0.022887398,5000
283,decoded,direct_vocab,9,0.3834842,0.41234422,0.045502324,0.022895118,0.03419872,0.9837522,-0.99486554,0.14706014,0.17002775,0.025004305,5000
284,decoded,direct_vocab,10,0.37056655,0.40060136,0.05333073,0.006182031,0.02975638,0.98411053,-0.6322888,0.13731956,0.16048145,0.022037243,5000
285,decoded,direct_vocab,11,0.3468726,0.37137857,0.034865312,0.029884884,0.032375097,0.9851109,0.95643383,0.120320596,0.13792205,0.016594863,5000
286,decoded,direct_vocab,1,0.38670957,0.41787797,0.023028368,0.026597546,0.024812957,0.986731,-0.11012292,0.1495443,0.174622,0.026113724,5200
287,decoded,direct_vocab,2,0.3785257,0.40467831,0.00837141,0.05605152,0.032211464,0.9871499,0.81203294,0.14328171,0.16376454,0.023464464,5200
288,decoded,direct_vocab,3,0.39437643,0.42653164,0.085016415,0.007982295,0.046499357,0.98433083,0.04752617,0.15553276,0.18192925,0.028295958,5200
289,decoded,direct_vocab,4,0.38204777,0.41109294,0.015226812,0.037484042,0.026355427,0.9862028,0.924253,0.1459605,0.1689974,0.024666945,5200
290,decoded,direct_vocab,5,0.3526898,0.3856356,0.06818657,0.027514555,0.047850564,0.982538,-0.6936727,0.124390095,0.14871483,0.018498652,5200
291,decoded,direct_vocab,6,0.37857,0.40783542,0.05325392,0.028924914,0.041089416,0.98423064,0.9299265,0.14331524,0.16632973,0.023837585,5200
292,decoded,direct_vocab,7,0.38741258,0.41690865,0.009425965,0.013206844,0.011316405,0.9888947,-0.40621558,0.1500885,0.17381282,0.026087306,5200
293,decoded,direct_vocab,8,0.37555328,0.4192898,0.124696545,0.0533647,0.08903062,0.97871935,0.8669299,0.14104027,0.17580393,0.024795434,5200
294,decoded,direct_vocab,9,0.39046726,0.42150128,0.046138223,0.022919966,0.034529094,0.9837689,-0.99551713,0.15246467,0.17766333,0.027087381,5200
295,decoded,direct_vocab,10,0.37814245,0.40959767,0.052817248,0.0059306975,0.029373974,0.98436517,-0.6595845,0.1429917,0.16777025,0.023989754,5200
296,decoded,direct_vocab,11,0.35339466,0.37961972,0.03321302,0.030068485,0.031640753,0.98524475,0.92951965,0.12488779,0.14411113,0.01799772,5200
297,decoded,direct_vocab,1,0.3938117,0.42615062,0.022588229,0.025620006,0.024104118,0.9866852,-0.035607126,0.15508765,0.18160436,0.028164594,5400
298,decoded,direct_vocab,2,0.38502932,0.41285858,0.009133217,0.054731216,0.031932216,0.98717606,0.89276344,0.14824757,0.1704522,0.025269125,5400
299,decoded,direct_vocab,3,0.40166658,0.43543178,0.0850446,0.008500455,0.04677253,0.9846971,0.05704019,0.16133605,0.18960084,0.03058945,5400
300,decoded,direct_vocab,4,0.38845035,0.41981164,0.015499975,0.037690446,0.02659521,0.9859632,0.94187504,0.15089367,0.17624182,0.026593775,5400
301,decoded,direct_vocab,5,0.3585925,0.39330152,0.06794729,0.027437778,0.047692534,0.98248017,-0.68336856,0.12858859,0.15468608,0.019890863,5400
302,decoded,direct_vocab,6,0.38521042,0.41635028,0.052766845,0.028507186,0.040637016,0.9841584,0.9075241,0.14838707,0.17334755,0.025722535,5400
303,decoded,direct_vocab,7,0.39407882,0.42553908,0.010425635,0.013560781,0.011993208,0.98875284,-0.35418588,0.15529811,0.1810835,0.028121926,5400
304,decoded,direct_vocab,8,0.38226125,0.4278384,0.12380788,0.053298123,0.088553,0.97915006,0.8586052,0.14612366,0.18304569,0.026747307,5400
305,decoded,direct_vocab,9,0.39719945,0.43040127,0.046545547,0.02304588,0.034795713,0.98373115,-0.9955749,0.1577674,0.18524525,0.02922566,5400
306,decoded,direct_vocab,10,0.3854498,0.41836822,0.052736133,0.005607658,0.029171895,0.98451936,-0.69589144,0.14857155,0.17503197,0.026004773,5400
307,decoded,direct_vocab,11,0.3596721,0.38762346,0.031160636,0.030150913,0.030655775,0.985309,0.9010987,0.12936401,0.15025194,0.019437194,5400
308,decoded,direct_vocab,1,0.4005249,0.4340914,0.021892741,0.024744278,0.02331851,0.9866727,-0.0075763175,0.16042021,0.18843533,0.030228835,5600
309,decoded,direct_vocab,2,0.39131647,0.4207987,0.009311359,0.053882718,0.03159704,0.98711085,0.92991054,0.15312858,0.17707154,0.027114714,5600
