,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
76,raw,direct_vocab,11,0.14846353,0.15409774,0.021160334,0.044810224,0.032985277,-0.08061826,-0.56401926,0.02204142,0.023746112,0.00052339805,1200
77,raw,direct_vocab,1,0.16837192,0.17281194,0.095882766,0.06350052,0.07969165,0.06696941,-0.855447,0.028349102,0.029863967,0.00084661663,1400
78,raw,direct_vocab,2,0.16637027,0.17039065,0.09870925,0.01945557,0.05908241,0.011326361,-0.22887953,0.027679067,0.029032974,0.0008036056,1400
79,raw,direct_vocab,3,0.16642606,0.17327116,0.06877365,0.016063938,0.042418793,-0.03695126,-0.9965223,0.027697634,0.030022897,0.0008315632,1400
80,raw,direct_vocab,4,0.16807608,0.16791773,0.07750276,0.08114998,0.07932637,0.008145813,0.8802034,0.02824957,0.028196363,0.0007965351,1400
81,raw,direct_vocab,5,0.1677602,0.17410047,0.030594444,0.026439326,0.028516885,0.02837378,0.9990356,0.028143482,0.030310975,0.0008530564,1400
82,raw,direct_vocab,6,0.16693936,0.17254215,0.054186154,0.059187993,0.056687072,0.010502403,0.90602016,0.027868751,0.029770795,0.0008296749,1400
83,raw,direct_vocab,7,0.16748518,0.16951294,0.021886421,0.03632241,0.029104415,-0.03114514,-0.8942569,0.028051285,0.028734637,0.0008060435,1400
84,raw,direct_vocab,8,0.16875947,0.1749989,0.061264068,0.01835984,0.039811954,0.047983773,-0.99064773,0.028479757,0.030624613,0.00087218155,1400
85,raw,direct_vocab,9,0.169304,0.16960832,0.065641485,0.08030713,0.07297431,-0.006010277,0.0002580444,0.028663844,0.028766984,0.00082457234,1400
86,raw,direct_vocab,10,0.16745089,0.17315997,0.04644233,0.03156004,0.039001185,-0.024261674,-0.26059243,0.0280398,0.029984375,0.0008407559,1400
87,raw,direct_vocab,11,0.1668587,0.17314525,0.021653969,0.03976953,0.03071175,-0.08454059,-0.11449965,0.027841827,0.029979277,0.00083467783,1400
88,raw,direct_vocab,1,0.18551874,0.19098344,0.09330501,0.05646645,0.074885726,0.06769117,-0.88705045,0.034417205,0.036474675,0.0012553564,1600
89,raw,direct_vocab,2,0.1833321,0.18784413,0.09503442,0.016050465,0.055542443,0.011635545,-0.35406637,0.03361066,0.035285417,0.0011859662,1600
90,raw,direct_vocab,3,0.18322112,0.19017741,0.06487575,0.015371585,0.040123668,-0.03600335,-0.9951015,0.033569977,0.036167447,0.0012141403,1600
91,raw,direct_vocab,4,0.18516582,0.18501183,0.073073484,0.066931054,0.07000227,0.007912027,0.8888231,0.034286384,0.03422938,0.0011736016,1600
92,raw,direct_vocab,5,0.18508382,0.19186327,0.026495954,0.025048414,0.025772184,0.03189793,0.9941984,0.034256022,0.036811516,0.0012610161,1600
93,raw,direct_vocab,6,0.18419005,0.19065554,0.05541631,0.0519064,0.053661354,0.014526888,0.77548707,0.033925973,0.036349535,0.0012331933,1600
94,raw,direct_vocab,7,0.1842391,0.1872874,0.021971984,0.029621512,0.025796749,-0.02378544,-0.99995714,0.033944048,0.035076573,0.0011906408,1600
95,raw,direct_vocab,8,0.18588102,0.19229926,0.05526945,0.015423527,0.03534649,0.03954611,-0.9744901,0.034551755,0.036979005,0.0012776895,1600
96,raw,direct_vocab,9,0.18656787,0.18752855,0.06115243,0.071679235,0.06641583,-0.006097681,0.05135775,0.03480757,0.035166956,0.0012240763,1600
97,raw,direct_vocab,10,0.18440205,0.19146068,0.04583764,0.02747691,0.036657274,-0.026164386,-0.30363318,0.034004115,0.03665719,0.0012464954,1600
98,raw,direct_vocab,11,0.18385574,0.19086473,0.022585902,0.03774856,0.030167231,-0.09189311,0.28020033,0.033802934,0.036429346,0.0012314188,1600
99,raw,direct_vocab,1,0.20132121,0.20786777,0.09067216,0.051748965,0.07121056,0.06758619,-0.8998607,0.04053023,0.04320901,0.0017512711,1800
100,raw,direct_vocab,2,0.19904819,0.20412143,0.08964462,0.012473136,0.051058877,0.014677099,-0.47754386,0.039620183,0.041665558,0.0016507971,1800
101,raw,direct_vocab,3,0.19861047,0.20562853,0.061317664,0.014925837,0.03812175,-0.035529394,-0.9902522,0.03944612,0.04228309,0.0016679039,1800
102,raw,direct_vocab,4,0.2011883,0.2010115,0.06947503,0.056659363,0.0630672,0.0060342434,0.918439,0.040476732,0.04040562,0.0016354874,1800
103,raw,direct_vocab,5,0.2012248,0.20842409,0.022820033,0.02452743,0.023673732,0.035766657,0.9962275,0.04049142,0.043440603,0.0017589717,1800
